No Filter (I), No Filter (V), Pink Filter (I), Pink Filter (V), Yellow Filter (I), Yellow Filter (V), Blue Filter (I), Blue Filter (V), Green Filter (I), Green Filter (V)
I (mA)       , V (V)        , I (mA)         , V (V)          , I (mA)           , V (V)            , I (mA)         , V (V)          , I (mA)          , V (V)
130          , 0.921        , 65.2           , 0.645          , 56.32            , 0.42             , 42.45          , 0.286          , 34.05           , 0.54
115.8        , 2.427        , 62.2           , 4.502          , 53.15            , 3.428            , 41.35          , 1.33           , 33.03           , 1.374
111.6        , 2.74         , 59.5           , 4.842          , 50.74            , 4.845            , 40.54          , 1.52           , 31.66           , 2.222
97           , 3.969        , 46.73          , 5.338          , 46.23            , 5.13             , 39.65          , 2.65           , 30.7            , 4.626
92           , 4.302        , 40.4           , 5.455          , 41.94            , 5.279            , 38.86          , 3.94           , 28.12           , 4.901
84.2         , 4.691        , 38.08          , 5.5            , 40.54            , 5.322            , 36.37          , 4.854          , 25.27           , 4.990
81.6         , 4.93         , 34.83          , 5.546          , 36.23            , 5.42             , 34.51          , 5.02           , 23.63           , 5.074
75.3         , 5.232        , 30.62          , 5.596          , 30.25            , 5.524            , 32.92          , 5.081          , 22.72           , 5.188
69.4         , 5.401        , 29.03          , 5.61           , 28.43            , 5.55             , 30.52          , 5.188          , 21.67           , 5.220
64.2         , 5.488        , 26.31          , 5.638          , 27.25            , 5.555            , 28.15          , 5.27           , 19.11           , 5.297
60.6         , 5.538        , 22.32          , 5.688          , 26.62            , 5.56             , 24.5           , 5.347          , 18.37           , 5.331
55.67        , 5.601        , 20.67          , 5.708          , 24.05            , 5.602            , 23.05          , 5.391          , 17.56           , 5.380
50.96        , 5.693        , 19.42          , 5.716          , 19.88            , 5.652            , 21.04          , 5.426          , 16.08           , 5.397
44.34        , 5.716        , 18.1           , 5.727          , 18.42            , 5.672            , 20.64          , 5.44           , 15.72           , 5.290
40.58        , 5.757        , 17.32          , 5.734          , 17.58            , 5.676            , 19.28          , 5.461          , 14.69           , 5.427
37.21        , 5.784        , 16.8           , 5.738          , 16.72            , 5.68             , 18.12          , 5.484          , 13.32           , 5.457
36.38        , 5.783        , 14.43          , 5.75           , 15.1             , 5.692            , 17.48          , 5.498          , 12.63           , 5.480
33.15        , 5.814        , 13.95          , 5.758          , 14.58            , 5.7              , 16.73          , 5.511          , 11.11           , 5.505
30.73        , 5.82         , 12.68          , 5.773          , 13.52            , 5.707            , 15.6           , 5.529          , 10.53           , 5.514
27.18        , 5.848        , 11.7           , 5.781          , 12.68            , 5.713            , 14.73          , 5.542          , 9.48            , 5.530
22.18        , 5.882        , 10.72          , 5.78           , 11.29            , 5.725            , 13.3           , 5.563          , 8.68            , 5.540
20.11        , 5.9          , 9.52           , 5.784          , 10.69            , 5.727            , 12.18          , 5.576          , 8.06            , 5.557
18.18        , 5.911        , 8.54           , 5.786          , 9.54             , 5.734            , 11.15          , 5.585          , 7.56            , 5.567
16.84        , 5.918        , 7.74           , 5.789          , 8.75             , 5.739            , 10.67          , 5.588          , 5.15            , 5.58
14.31        , 5.926        , 6.73           , 5.793          , 8.15             , 5.744            , 10.28          , 5.594          , 6.64            , 5.59
12.43        , 5.932        , 5.75           , 5.797          , 7.54             , 5.75             , 9.88           , 5.6            , 6.25            , 5.592
10.65        , 5.942        , 4.82           , 5.803          , 7.18             , 5.756            , 9.08           , 5.612          , 5.8             , 5.599
9.1          , 5.948        , 4.1            , 5.809          , 6.9              , 5.758            , 8.56           , 5.619          , 5.22            , 5.600
8.94         , 5.947        , 3.67           , 5.812          , 6.01             , 5.763            , 7.88           , 5.629          , 4.9             , 5.602
7.83         , 5.946        , 3.24           , 5.814          , 5.81             , 5.765            , 7.12           , 5.642          , 4.4             , 5.609
6.69         , 5.956        , 2.89           , 5.82           , 5.29             , 5.771            , 6.7            , 5.646          , 4.12            , 5.613
5.78         , 5.962        , 2.37           , 5.824          , 4.84             , 5.776            , 6.19           , 5.653          , 3.42            , 5.622
5.3          , 5.97         , 2.06           , 5.829          , 4.26             , 5.781            , 6              , 5.655          , 3.2             , 5.623
4.81         , 5.978        , 1.9            , 5.83           , 3.88             , 5.786            , 5.34           , 5.664          , 2.96            , 5.626
4.06         , 5.998        , 1.32           , 5.835          , 3.18             , 5.794            , 4.5            , 5.674          , 2.65            , 5.63
3.64         , 6            , 1.24           , 5.839          , 2.88             , 5.8              , 4.07           , 5.68           , 2.38            , 5.633
3.08         , 6            , 1.12           , 5.84           , 2.41             , 5.805            , 3.79           , 5.684          , 2.6             , 5.637
2.38         , 6            ,                ,                , 2.12             , 5.806            , 3.8            , 5.689          , 1.85            , 5.64
1.55         , 6.01         ,                ,                , 2.06             , 5.807            , 3.05           , 5.695          , 1.66            , 5.642
1.15         , 6.01         ,                ,                , 1.96             , 5.811            , 2.62           , 5.701          , 1.49            , 5.644
             ,              ,                ,                , 1.88             , 5.814            , 2.45           , 5.703          , 1.39            , 5.645
             ,              ,                ,                , 1.43             , 5.818            , 2.19           , 5.706          , 1.28            , 5.646
             ,              ,                ,                , 1.32             , 5.82             , 1.91           , 5.708          , 1.19            , 5.647
             ,              ,                ,                , 1.2              , 5.823            , 1.75           , 5.709          , 1.08            , 5.654
             ,              ,                ,                ,                  ,                  , 1.5            , 5.71           ,                 , 
             ,              ,                ,                ,                  ,                  , 1.24           , 5.711          ,                 , 
             ,              ,                ,                ,                  ,                  , 1.1            , 5.712          ,                 , 
